clube
Academia Desportiva Manthiqueira Futebol Ltda.
Amparo Athético Club
Araçatuba Futebol Clube SAF
Associação Academy Real Futebol Clube
Associação Atlética Flamengo
Associação Atlética Francana
Associação Atlética Internacional
Associação Atlética Internacional Limeira
Associação Atlética Itararé
Associação Atlética Portuguesa
Associação Desportiva Guarulhos
Associação Esportiva Velo Clube Rioclarense
Barcelona Esportivo Capela Ltda.
Barretos Esporte Clube
Batatais Futebol Clube
Botafogo Futebol S/A
Clube Atlético Assisense
Clube Atlético Mogi das Cruzes de Futebol Ltda.
Clube Atlético Penapolense
Clube Atlético Taquaritinga
Clube Vital Academia de Futebol SAF
Colorado Caieiras Futebol Clube Ltda.
Comercial Futebol Clube
Cosmopolitano Sports Ltda.
Different System Sports Ltda.
Esporte Clube Noroeste SAF
Esporte Clube São Bento
Esporte Clube São Bernardo SAF
Futebol Clube
Grêmio Catanduvense de Futebol
Grêmio Esportivo Mauaense
Grêmio Osasco Audax Esporte Clube
Guarani Futebol Clube
I9 Internacional Academy
Independente Futebol Clube
Itaquaquecetuba Athletico Club Ltda.
Jabaquara Atlético Clube
José Bonifácio Esporte Clube
Juventus SAF
Lg Futebol Clube Ltda.
Macabi Holambra Esporte Clube
Marília Atlético Clube
Mauá Futebol Treinamentos e Esportes Ltda.
Mirassol Futebol Clube
Olímpia Futebol Clube
Palmeiras Futebol Clube
Porto Foot Ball Ltda.
Prata da Casa SAF
Presidente Prudente Futebol Clube
Primavera SAF
Red Bull Bragantino Futebol Ltda.
Referência Futebol Clube SAF
Rio Branco Esporte Clube
Rio Claro Futebol Clube
Salto Futebol Clube
Santa Fé Futebol Clube Ltda.
Santos Futebol Clube
São Caetano Futebol Ltda.
São Carlos Futebol Ltda.
São José Esporte Clube SAF
São Paulo Futebol Clube
Sfera SAF
Sociedade Esportiva Matonense
Sociedade Esportiva Palmeiras
Sport Club Corinthians Paulista São
Sport Clube Aguaí
Sporting Club Paulinense
Tupã Futebol Clube
União Agrícola Barbarense Futebol Clube
União Suzano Atlético Clube
Valinhos Hyper Futebol Clube SAF
Votoraty Futebol Clube Ltda.
