competition_category,group,official_name,alias
Sub-11,10,BARCELONA ESPORTIVO CAPELA LTDA.,BARCELONA EC
Sub-11,10,ESPORTE CLUBE SÃO BERNARDO SAF,EC SÃO BERNARDO SAF
Sub-11,10,GRÊMIO ESPORTIVO MAUAENSE,GE MAUAENSE
Sub-11,10,JABAQUARA ATLÉTICO CLUBE,JABAQUARA AC
Sub-11,10,MAUÁ FUTEBOL TREINAMENTOS E ESPORTES LTDA.,MAUÁ FUTEBOL TE
Sub-11,10,SANTOS FUTEBOL CLUBE,SANTOS FC
Sub-11,10,SÃO CAETANO FUTEBOL LTDA.,SÃO CAETANO FL
Sub-12,1,ARAÇATUBA FUTEBOL CLUBE SAF,ARAÇATUBA FC SAF
Sub-12,1,CLUBE ATLÉTICO LINENSE,CA LINENSE
Sub-12,1,CLUBE ATLÉTICO PENAPOLENSE,CA PENAPOLENSE
Sub-12,1,GRÊMIO CATANDUVENSE DE FUTEBOL,GR. CATANDUVENSE
Sub-12,1,JOSÉ BONIFÁCIO ESPORTE CLUBE,JOSÉ BONIFÁCIO EC
Sub-12,1,MIRASSOL FUTEBOL CLUBE,MIRASSOL FC
Sub-12,1,OLÍMPIA FUTEBOL CLUBE,OLÍMPIA FC
Sub-12,1,SANTA FÉ FUTEBOL CLUBE LTDA.,SANTA FÉ FC
Sub-12,2,ASSOCIAÇÃO ATLÉTICA ITARARÉ,AA ITARARÉ
Sub-12,2,CLUBE ATLÉTICO ASSISENSE,CA ASSISENSE
Sub-12,2,ESPORTE CLUBE NOROESTE SAF,EC NOROESTE SAF
Sub-12,2,ESPORTE CLUBE XV DE NOVEMBRO,EC XV DE JAÚ
Sub-12,2,MARÍLIA ATLÉTICO CLUBE,MARÍLIA AC
Sub-12,2,PRESIDENTE PRUDENTE FUTEBOL CLUBE,PRES. PRUDENTE FC
Sub-12,2,TUPÃ FUTEBOL CLUBE,TUPÃ FC
Sub-12,3,ASSOCIAÇÃO ATLÉTICA FRANCANA,AA FRANCANA
Sub-12,3,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL BEBEDOURO,AA INTER BEBEDOURO
Sub-12,3,BARRETOS ESPORTE CLUBE,BARRETOS EC
Sub-12,3,BATATAIS FUTEBOL CLUBE,BATATAIS FC
Sub-12,3,BOTAFOGO FUTEBOL S/A,BOTAFOGO S/A
Sub-12,3,COMERCIAL FUTEBOL CLUBE,COMERCIAL FC - RP
Sub-12,3,I9 INTERNACIONAL ACADEMY,I9 FUTEBOL CLUBE
Sub-12,3,LG FUTEBOL CLUBE LTDA.,LG FUTEBOL CLUBE
Sub-12,4,ASSOCIAÇÃO ESPORTIVA VELO CLUBE RIOCLARENSE - RIO CLARO,AE VELO CLUBE
Sub-12,4,CLUBE ATLÉTICO TAQUARITINGA,CA TAQUARITINGA
Sub-12,4,PALMEIRAS FUTEBOL CLUBE,PALMEIRAS FC
Sub-12,4,PORTO FOOT BALL LTDA.,PORTO FOOT BALL LTDA
Sub-12,4,RIO CLARO FUTEBOL CLUBE,RIO CLARO FC
Sub-12,4,SÃO CARLOS FUTEBOL LTDA.,SÃO CARLOS FL
Sub-12,4,SOCIEDADE ESPORTIVA MATONENSE,SE MATONENSE
Sub-12,4,SPORT CLUBE AGUAÍ,SPORT CLUBE AGUAÍ
Sub-12,5,AMPARO ATHÉTICO CLUB,AMPARO AC
Sub-12,5,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL LIMEIRA,AA INTER LIMEIRA
Sub-12,5,COSMOPOLITANO SPORTS LTDA.,COSMOPOLITANO SPORTS
Sub-12,5,GUARANI FUTEBOL CLUBE,GUARANI FC
Sub-12,5,INDEPENDENTE FUTEBOL CLUBE,INDEPENDENTE FC
Sub-12,5,MACABI HOLAMBRA ESPORTE CLUBE,MACABI HOLAMBRA
Sub-12,5,RIO BRANCO ESPORTE CLUBE,RIO BRANCO EC
Sub-12,5,UNIÃO AGRÍCOLA BARBARENSE FUTEBOL CLUBE - SANTA BÁRBARA D'OESTE,UA BARBARENSE FC
Sub-12,6,DIFFERENT SYSTEM SPORTS LTDA.,DS SPORTS LTDA
Sub-12,6,PRIMAVERA SAF,PRIMAVERA SAF
Sub-12,6,RED BULL BRAGANTINO FUTEBOL LTDA.,RED BULL BRAGANTINO
Sub-12,6,SÃO BERNARDO FUTEBOL CLUBE LTDA.,SÃO BERNARDO FC
Sub-12,6,SFERA SAF,SFERA SAF
Sub-12,6,SPORTING CLUB PAULINENSE,SC PAULINENSE
Sub-12,6,VALINHOS ESPORTE CLUBE LTDA.,VALINHOS EC
Sub-12,6,VALINHOS HYPER FUTEBOL CLUBE SAF,VALINHOS HYPER FC S.A.F
Sub-12,7,ASSOCIAÇÃO ATLÉTICA FLAMENGO,AA FLAMENGO
Sub-12,7,ASSOCIAÇÃO DESPORTIVA GUARULHOS,AD GUARULHOS
Sub-12,7,COLORADO CAIEIRAS FUTEBOL CLUBE LTDA.,COLORADO CAIEIRAS FC
Sub-12,7,ITAQUAQUECETUBA ATHLETICO CLUB LTDA.,ITAQUAQUECETUBA ATH.
Sub-12,7,JUVENTUS SAF,JUVENTUS SAF
Sub-12,7,PAULISTA FUTEBOL CLUBE LTDA.,PAULISTA FC
Sub-12,7,PRATA DA CASA SAF,PRATA DA CASA SAF
Sub-12,7,SOCIEDADE ESPORTIVA PALMEIRAS,SE PALMEIRAS
Sub-12,8,ASSOCIAÇÃO ACADEMY REAL FUTEBOL CLUBE,REAL SOCCER
