competition_id,category,round,match_number,date,weekday,time,home_alias,home_official,away_alias,away_official,venue,status,raw_line
paulista_sub11_2026,Sub-11,1,20,28/mar,sáb,14 h 30,SFERA SAF,SFERA SAF,VALINHOS EC,VALINHOS ESPORTE CLUBE LTDA.,Jarinu,scheduled,020 28/mar - sáb 14 h 30 SFERA SAF X VALINHOS EC Jarinu
paulista_sub11_2026,Sub-11,1,21,28/mar,sáb,14 h 30,DS SPORTS LTDA,DIFFERENT SYSTEM SPORTS LTDA.,VALINHOS HYPER FC S.A.F,VALINHOS HYPER FUTEBOL CLUBE SAF,Atibaia,scheduled,021 28/mar - sáb 14 h 30 DS SPORTS LTDA X VALINHOS HYPER FC S.A.F Atibaia
paulista_sub11_2026,Sub-11,1,22,28/mar,sáb,14 h 30,AA FLAMENGO,ASSOCIAÇÃO ATLÉTICA FLAMENGO,AD GUARULHOS,ASSOCIAÇÃO DESPORTIVA GUARULHOS,Guarulhos,scheduled,022 28/mar - sáb 14 h 30 AA FLAMENGO X AD GUARULHOS Guarulhos
paulista_sub11_2026,Sub-11,1,23,28/mar,sáb,14 h 30,ITAQUAQUECETUBA ATH.,ITAQUAQUECETUBA ATHLETICO CLUB LTDA.,SE PALMEIRAS,SOCIEDADE ESPORTIVA PALMEIRAS,Itaquaquecetuba,scheduled,023 28/mar - sáb 14 h 30 ITAQUAQUECETUBA ATH. X SE PALMEIRAS Itaquaquecetuba
paulista_sub11_2026,Sub-11,1,24,28/mar,sáb,14 h 30,PRATA DA CASA SAF,PRATA DA CASA SAF,COLORADO CAIEIRAS FC,COLORADO CAIEIRAS FUTEBOL CLUBE LTDA.,São Paulo,scheduled,024 28/mar - sáb 14 h 30 PRATA DA CASA SAF X COLORADO CAIEIRAS FC São Paulo
paulista_sub11_2026,Sub-11,1,25,28/mar,sáb,14 h 30,PAULISTA FC,PAULISTA FUTEBOL CLUBE LTDA.,JUVENTUS SAF,JUVENTUS SAF,Jundiaí,scheduled,025 28/mar - sáb 14 h 30 PAULISTA FC X JUVENTUS SAF Jundiaí
paulista_sub11_2026,Sub-11,1,26,28/mar,sáb,14 h 30,SALTO FC,SALTO FUTEBOL CLUBE,GO AUDAX,GRÊMIO OSASCO AUDAX ESPORTE CLUBE,Salto,scheduled,026 28/mar - sáb 14 h 30 SALTO FC X GO AUDAX Salto
paulista_sub11_2026,Sub-11,1,27,28/mar,sáb,14 h 30,REFERÊNCIA FC SAF,REFERÊNCIA FUTEBOL CLUBE SAF,SÃO PAULO FC,SÃO PAULO FUTEBOL CLUBE,Embu das Artes,scheduled,027 28/mar - sáb 14 h 30 REFERÊNCIA FC SAF X SÃO PAULO FC Embu das Artes
paulista_sub11_2026,Sub-11,1,28,28/mar,sáb,14 h 30,REAL SOCCER,ASSOCIAÇÃO ACADEMY REAL FUTEBOL CLUBE,CLUBE VITAL SAF,CLUBE VITAL ACADEMIA DE FUTEBOL SAF,Sorocaba,scheduled,028 28/mar - sáb 14 h 30 REAL SOCCER X CLUBE VITAL SAF Sorocaba
paulista_sub11_2026,Sub-11,1,29,28/mar,sáb,14 h 30,VOTORATY FC,VOTORATY FUTEBOL CLUBE LTDA.,EC SÃO BENTO,ESPORTE CLUBE SÃO BENTO,Votorantim,scheduled,029 28/mar - sáb 14 h 30 VOTORATY FC X EC SÃO BENTO Votorantim
