competition_id,name,season,category,source
paulista_sub11_2026,Campeonato Paulista de Futebol Sub-11,2026,Sub-11,FPF
paulista_sub12_2026,Campeonato Paulista de Futebol Sub-12,2026,Sub-12,FPF
